metric_key,economic_category,cou_metric_key,year,GDP,GDP_15,GDP_PC,GDP_PC_PPP,GDP_PC_PPP_17,GDP_PEMP,GDP_PPP,MFG_VA,ELC_POP,ELC_RUR_POP,CO2GDP,AtmCO2
developed-2013,Developed,canada-2013,2013,1846597421834.98,1503174217512.03,42846.2841957958,44298.5787342765,46704.7622355677,90205.5332726414,1554125000000.0,9.58849235825594,100.0,100.0,0.334,0.361
developed-2014,Developed,canada-2014,2014,1805749878439.94,1546315859831.59,43635.0954811371,45753.7505547994,47564.609109622,92244.9164516637,1621395561291.92,9.42615082382699,100.0,100.0,0.327,0.348
developed-2015,Developed,canada-2015,2015,1556508816217.14,1556508816217.14,43596.1355365546,44670.0805385838,47522.1406673151,92296.0327550444,1594851775821.65,9.9754225443394,100.0,100.0,0.324,0.335
developed-2016,Developed,canada-2016,2016,1527994741907.43,1572095608554.66,43536.9134032467,46472.3402486315,47457.5853457244,92339.4316478829,1678092366067.54,9.92800413520787,100.0,100.0,0.32,0.367
developed-2017,Developed,canada-2017,2017,1649265644244.09,1619885432081.64,44325.4883367463,48317.1745835151,48317.1745835151,93246.7272655327,1765762548007.76,9.68457578828024,100.0,100.0,0.316,0.358
developed-2018,Developed,canada-2018,2018,1725329192783.02,1664870307455.57,44917.4837282326,49992.7622757708,48962.4815108923,94483.1287524598,1852985933143.48,9.86607158831886,100.0,100.0,0.315,0.344
developed-2000,Developed,croatia-2000,2000,21839780971.0268,39345635026.6593,8805.50039515219,10683.6035193701,18362.1050911661,52145.1892748939,47737566972.8085,16.6606354037366,100.0,100.0,0.206,0.426
developed-2001,Developed,croatia-2001,2001,23273640257.1968,40538790726.3889,9428.4107203318,11655.644078154,19661.0596468456,56725.8052499198,50115096815.4821,16.3526788308009,100.0,100.0,0.212,0.446
developed-2002,Developed,croatia-2002,2002,27074550257.8118,42858450411.7988,9962.04486657184,12769.7752890383,20773.846636088,57409.9822885349,54937795234.3429,15.2295658018864,100.0,100.0,0.213,0.417
developed-2003,Developed,croatia-2003,2003,34985749883.4171,45226785549.9551,10509.549672237,13682.122115102,21915.5581037381,60495.1477128914,58879630628.0077,14.8561402385988,100.0,100.0,0.216,0.394
developed-2004,Developed,croatia-2004,2004,41958833541.0995,47103397210.0716,10942.572413249,14675.2614480684,22818.5401854497,61472.8805524702,63171130429.3551,15.029086318425,100.0,100.0,0.201,0.45
developed-2005,Developed,croatia-2005,2005,45780237257.1867,49134684669.976,11399.7753370191,15436.6444120023,23771.9451888582,65046.9125705913,66534175729.1696,14.3023671612972,100.0,100.0,0.196,0.439
developed-2013,Developed,croatia-2013,2013,58889082315.336,49097288862.4178,11536.8601564677,22081.0977857438,24057.8080868379,67232.3834522798,93970284954.7143,12.6399156110699,100.0,100.0,0.157,0.327
